Customer Cohort Month,Month,Volume
10/31/2022,11/30/2022,589000
9/30/2021,3/31/2022,1000
7/31/2021,8/31/2022,91000
3/31/2019,4/30/2023,4000
10/31/2018,4/30/2022,1661000
1/31/2018,12/31/2022,36986000
10/31/2019,12/31/2021,6719000
6/30/2021,5/31/2022,629000
7/31/2019,2/28/2022,948000
4/30/2021,7/31/2022,268000
8/31/2021,5/31/2022,9038000
12/31/2020,3/31/2022,3648000
12/31/2020,3/31/2021,1920000
9/30/2018,12/31/2021,148000
7/31/2019,5/31/2022,1034000
3/31/2020,5/31/2021,1027000
4/30/2020,1/31/2023,138617000
12/31/2021,11/30/2022,14000
1/31/2018,8/31/2022,27533000
2/28/2021,2/28/2022,425000
3/31/2023,5/31/2023,123000
6/30/2022,6/30/2022,168000
2/28/2023,3/31/2023,560000
3/31/2018,3/31/2023,5000
8/31/2021,10/31/2021,4055000
2/29/2020,11/30/2021,328000
8/31/2019,10/31/2021,420000
10/31/2019,3/31/2023,2788000
7/31/2018,7/31/2021,9015000
4/30/2020,7/31/2021,165139000
12/31/2018,4/30/2022,5113000
9/30/2018,6/30/2021,127000
12/31/2021,6/30/2022,203000
3/31/2020,1/31/2022,818000
5/31/2022,1/31/2023,196000
7/31/2020,6/30/2022,404000
8/31/2019,10/31/2022,838000
11/30/2020,6/30/2022,365000
10/31/2019,8/31/2021,8962000
6/30/2020,3/31/2022,2301000
8/31/2018,10/31/2021,155000
8/31/2019,8/31/2022,473000
3/31/2022,11/30/2022,153000
2/28/2021,10/31/2021,195000
12/31/2020,7/31/2022,4040000
6/30/2021,7/31/2021,261000
7/31/2020,5/31/2023,234000
7/31/2019,4/30/2021,466000
10/31/2018,5/31/2023,4117000
11/30/2019,11/30/2021,328000
9/30/2018,10/31/2021,136000
8/31/2019,1/31/2022,515000
9/30/2020,9/30/2021,644000
3/31/2020,7/31/2022,350000
5/31/2019,7/31/2022,9637000
10/31/2022,2/28/2023,590000
